wikiStats|id

redirects|6797
p|Third_Rider_125_Country_flag_suffix|0
p|First_Rider_Moto3_Country|0
p|Second_Rider_Moto2_Country_flag_suffix|0
p|Fast_Rider_350_Bike|0
p|Third_Rider_80_Country_flag_suffix|0
p|First_Rider_125_Bike|2
p|Fast_Time_125|1
p|image-size|0
p|Third_Rider_250_Country_flag_suffix|0
p|Third_Rider_350_Bike|0
p|Fast_Time_50|0
p|First_Rider_Moto2_Country_flag_suffix|0
p|Pole_Time_50|0
p|Pole_Rider_Sidecar_B2B_Country_flag_suffix|0

template|Templat:Kotakinfo lagu kebangsaan
count|5
properties|20
p|author|5
p|music_date|1
p|alt_title_2|0
p|image_size|1
p|image|0
p|composer|6
p|country|0
p|until|5
p|lyrics_date|0
p|sound_title|4
p|alt|0
p|adopted|6
p|caption|2
p|sound|4
p|en_alt_title|0
p|english_title|5
p|transcription|3
p|alt_title|0
p|en_alt_title_2|0
p|title|5

template|Templat:Infobox space mission
count|18
properties|68
p|shuttle|5
p|lunar_module|15
p|footnotes|0
p|altitude|5
p|launch|13
p|peakacc|1
p|mass|0
p|duration|10
p|spacewalk_begin|0
p|spacecraft_mass|4
p|lunar_sample_mass|3
p|AltImage|0
p|callsign|2
p|apolune|1
p|end_spacewalk|0
p|mission_name|19
p|perigee|3
p|maxvel|0
p|begin_spacewalk|0
p|peakdec|0
p|launch_date|14
p|lunar_eva_duration|11
p|crew photo|0
p|apogee|3
p|previous|15
p|command_module|15
p|shuttle_notes|0
p|sso_burn|0
p|next_mission|8
p|shuttle_name|0
p|lunar_landing|10
p|spacecraft_name|2
p|service_module|7
p|insignia_size|6
p|spacewalk_end|0
p|distance_traveled|0
p|crew_size|7
p|shuttlenotes|0
p|sign|6
p|crew_photo|16
p|previous_mission|8
p|mission_duration|6
p|inclination|11
p|lunar_orbits|3
p|time_lunar_orbits|4
p|crew_members|6
p|cmp_eva_duration|2
p|spacecraft_type|2
p|lunar_rover|2
p|max_velocity|0
p|next|14
p|stats_ref|0
p|lrv|0
p|landing_site|2
p|landing|27
p|booster|11
p|crew_caption|15
p|peak_accel|0
p|perilune|1
p|orbits|10
p|insignia|17
p|launch_pad|31
p|lunar_surface_time|4
p|cmp_eva|0
p|distance|4
p|period|8
p|peak_decel|0
p|lunar_eva_length|0

template|Templat:Episode list
count|7
properties|13
p|AltDate|0
p|AltTitle|0
p|Title|153
p|LineColor|78
p|Aux1|17
p|ShortSummary|231
p|ImageSize|0
p|Aux2|42
p|EpisodeNumber|153
p|Image|0
p|ProdCode|26
p|ImageCaption|0
p|OriginalAirDate|113

template|Templat:Infobox stadium
count|426
properties|48
p|footnotes|0
p|coordinates|12
p|project_manager|8
p|former_names|114
p|website|3
p|Suites|0
p|name|61
p|scoreboard|14
p|built|145
p|location|710
p|main contractors|0
p|surface|291
p|suites|7
p|renovated|135
p|image|0
p|closed|40
p|general_contractor|15
p|expanded|34
p|construction_cost|147
p|seating_capacity|397
p|track|1
p|general contractor|0
p|structural engineer|17
p|broke ground|1
p|stadium_name|358
p|project manager|0
p|opened|364
p|tenants|562
p|fullname|180
p|cost|5
p|broke_ground|115
p|operator|165
p|caption|20
p|logo_image|13
p|catatan|0
p|dimensions|184
p|logo_caption|1
p|former names|4
p|Website|0
p|owner|303
p|main_contractors|3
p|undersoil_heating|3
p|demolished|20
p|architect|202
p|services engineer|6
p|record_attendance|15
p|capacity|83
p|nickname|166

template|Templat:Karakter BSG
count|2
properties|12
p|portrayed|2
p|name|2
p|callsign|1
p|affiliation|3
p|image|0
p|rank|4
p|colony|2
p|last|0
p|caption|0
p|race|2
p|first|2
p|gender|2

template|Templat:8Tim TK
count|2
properties|75
p|RD2-score4-2|4
p|RD2-score2-3|4
p|RD1-team2|1
p|RD2-score3-1|4
p|RD1-score3-1|4
p|RD1-score7-1|4
p|RD1-seed8|0
p|RD3-score1-3|4
p|RD2-score1-3|4
p|RD2-seed4|0
p|group2|0
p|RD1-seed3|0
p|RD3|4
p|RD1-team5|1
p|RD1-seed7|0
p|RD2-team1|1
p|RD3-team1|1
p|RD1-score1-3|4
p|RD1-score6-3|4
p|RD1-score8-1|4
p|RD1-score4-2|4
p|RD2-score1-1|4
p|RD1-score3-2|4
p|RD2-score3-3|4
p|RD1-score5-3|4
p|RD1-team8|1
p|RD1-team7|1
p|RD1-seed4|0
p|RD2-score2-2|4
p|RD1-team4|1
p|RD3-score1-1|4
p|RD2-seed3|0
p|RD1-seed1|0
p|RD1|4
p|RD2-team2|1
p|RD3-score2-3|4
p|RD1-score5-2|4
p|RD2-team4|1
p|RD2-score2-1|4
p|RD2-seed2|0
p|RD2-score3-2|4
p|RD1-seed5|0
p|RD2-score4-1|4
p|RD3-team2|1
p|RD1-score2-1|4
p|RD1-score4-1|4
p|RD1-score5-1|4
p|RD3-score1-2|4
p|RD1-score3-3|4
p|RD3-seed1|0
p|RD1-score6-2|4
p|RD3-score2-2|4
p|RD2|4
p|RD1-score8-3|4
p|RD2-team3|1
p|RD1-score1-1|4
p|RD3-seed2|0
p|RD2-seed1|0
p|RD1-team1|1
p|RD1-score2-3|4
p|RD1-team3|1
p|RD1-score7-2|4
p|RD3-score2-1|4
p|RD1-team6|1
p|RD1-score1-2|4
p|RD1-score6-1|4
p|RD1-seed2|0
p|RD1-score7-3|4
p|RD1-score4-3|4
p|group1|0
p|RD1-score2-2|4
p|RD2-score1-2|4
p|RD2-score4-3|4
p|RD1-score8-2|4
p|RD1-seed6|0

template|Templat:Ibdb nama
count|1
properties|0

template|Templat:Infobox komponen elektronika
count|25
properties|14
p|simbol|19
p|penemu|8
p|tipe|25
p|judul_foto|13
p|susunan_kaki|17
p|judul|0
p|keterangan|0
p|komponen_sejenis|66
p|kategori|30
p|prinsip_kerja|5
p|foto|18
p|komponen|2
p|fungsi|3
p|pembuatan_pertama|4

template|Templat:NFPA 704
count|5
properties|4
p|Other|1
p|Reactivity|4
p|Health|4
p|Flammability|5

template|Templat:Kualifikasi Piala Dunia FIFA 2014 – Grup J Zona Afrika
count|2
properties|2
p|tiebreakers|0
p|expanded|2

template|Templat:Infobox flood
count|12
properties|8
p|duration|12
p|name|13
p|areas affected|24
p|total damages (USD)|2
p|total damages|5
p|image location|8
p|total fatalities|8
p|image name|8

template|Templat:Sloka
count|6
properties|6
p|buku|7
p|dan|1
p|tampilkan nama kitab|6
p|sloka|18
p|kitab|18
p|bab|18

template|Templat:Infobox Narnia character
count|2
properties|39
p|utama5|0
p|children|0
p|major7|0
p|name|2
p|utama1|2
p|Negara|0
p|major3|0
p|nation|2
p|image|0
p|orang tua|0
p|spouse|0
p|major4|0
p|utama6|0
p|parents|0
p|film4|0
p|utama2|0
p|film1|3
p|tbl-style|0
p|film3|0
p|major5|0
p|utama|0
p|film2|2
p|utama3|0
p|caption|2
p|race|2
p|major1|0
p|siblings|0
p|keluarga lain|0
p|major6|0
p|Kelamin|0
p|Jalan|0
p|birthplace|2
p|title|1
p|major2|0
p|tanggal lahir|0
p|utama4|0
p|otherFamily|0
p|gender|2
p|anak|0

template|Templat:NYCS Queens Plaza
count|1
properties|2
p|time|1
p|exclude|1

template|Templat:Infobox web browser
count|6
properties|34
p|author|0
p|website|0
p|name|6
p|genre|8
p|programming language|14
p|size|4
p|standard|0
p|discontinued|0
p|released|1
p|AsOf|0
p|language footnote|0
p|latest release version|0
p|developer|7
p|logo caption|0
p|collapsible|0
p|licence|0
p|operating system|22
p|slogan|0
p|included with|0
p|bodystyle|0
p|license|6
p|logo|6
p|latest release date|0
p|language|5
p|caption|5
p|status|5
p|screenshot|6
p|latest preview version|0
p|Footer|0
p|title|1
p|platform|0
p|language count|1
p|latest preview date|0
p|engine|10

template|Templat:ST episode
count|4
properties|13
p|guest|24
p|series|4
p|name|4
p|writer|8
p|image|0
p|prev|4
p|year|4
p|ep_num|4
p|stardate|4
p|date|4
p|director|4
p|next|4
p|prod_num|4

template|Templat:Kotak info jabatan politik
count|155
properties|28
p|penunjuk|1
p|kediaman|30
p|website|13
p|name|0
p|tempo|17
p|dibentuk|152
p|imagesize|114
p|gaji|0
p|image|0
p|pertama|144
p|namaasli|1
p|departemen|1
p|incumbentsince|149
p|deputi|0
p|keteranganinsignia|111
p|jabatan|157
p|appointerpost|0
p|jabatanpenunjuk|0
p|berakhir|4
p|ukuraninsignia|123
p|alt|1
p|suksesi|0
p|gelar|6
p|incumbent|153
p|terakhir|4
p|insignia|35
p|lembaga|115
p|width|0

template|Templat:ITF male tournament details
count|1
properties|0

template|Templat:Infobox Radio Station
count|19
properties|15
p|maskot|1
p|website|16
p|city|6
p|area|26
p|name|19
p|alamat|3
p|sapaan|1
p|image|0
p|sister_stations|3
p|slogan|9
p|repeater|0
p|frequency|36
p|owner|18
p|webcast|8
p|airdate|16

template|Templat:Wwdb name
count|1
properties|2
p|name|1
p|id|1

template|Templat:Panorama
count|10
properties|6
p|image|0
p|height|10
p|alt|2
p|caption|10
p|fullwidth|6
p|fullheight|6

template|Templat:AlphanumericTOC
count|3
properties|43
p|e|0
p|s|0
p|sections|0
p|x|0
p|sec3|0
p|multiline|0
p|nobreak|0
p|n|0
p|sec4|0
p|j|0
p|y|0
p|t|0
p|align|2
p|u|0
p|prefixLink|0
p|f|0
p|prefixDesc|0
p|a|0
p|m|0
p|i|0
p|numbers|0
p|v|0
p|references|0
p|externallinks|0
p|q|0
p|b|0
p|sec5|0
p|notoc|0
p|g|0
p|l|0
p|p|0
p|sec2|1
p|c|0
p|seealso|0
p|h|0
p|r|0
p|w|0
p|top|0
p|k|0
p|sec1|0
p|o|0
p|z|0
p|d|0

template|Templat:Kualifikasi Piala Dunia FIFA 2014 – Grup A Zona Afrika
count|1
properties|2
p|tiebreakers|0
p|expanded|1

template|Templat:InSpanish
count|1
properties|0

template|Templat:Facebook
count|4
properties|4
p|name|4
p|1|0
p|id|4
p|2|0

template|Templat:Infobox journal
count|29
properties|71
p|ISSN7|0
p|ISSN3|0
p|former_names|0
p|website|28
p|italic title|0
p|link1-name|14
p|ISSN4label|0
p|oclc|0
p|JSTOR|2
p|link3-name|0
p|eISSN6|0
p|history|28
p|impact-year|23
p|url|0
p|LCCN|9
p|lccn|0
p|URL|0
p|ISSN3label|0
p|boxwidth|0
p|ISSN2label|0
p|ISSN8label|0
p|impact|23
p|eISSN5|0
p|eISSN2|0
p|ISSN4|0
p|CODEN|8
p|ISSN6|0
p|eISSN9|0
p|link2|5
p|eISSN|22
p|eissn|0
p|ISSN5|0
p|country|17
p|formernames|2
p|Coden|0
p|ISSN6label|0
p|licence|0
p|link3|0
p|coden|0
p|license|3
p|ISSN10|0
p|editor|26
p|cover|20
p|link1|14
p|language|5
p|ISSN9|0
p|eISSN8|0
p|jstor|0
p|caption|0
p|publisher|29
p|eISSN4|0
p|discipline|33
p|eISSN10|0
p|ISSN7label|0
p|ISSN8|0
p|ISSN2|0
p|frequency|22
p|title|21
p|eISSN7|0
p|peer-reviewed|0
p|openaccess|8
p|ISSNlabel|0
p|ISSN5label|0
p|link2-name|5
p|eISSN3|0
p|abbreviation|26
p|OCLC|15
p|ISSN9label|0
p|issn|0
p|ISSN10label|0
p|ISSN|28

template|Templat:Filmsite
count|3
properties|4
p|1|0
p|title|3
p|id|3
p|2|0

template|Templat:Infobox Hospital
count|6
properties|32
p|Certification|0
p|map_size|0
p|Caption|1
p|Location|4
p|Name|3
p|map_caption|0
p|latitude|0
p|Logo Size|0
p|Affiliation|2
p|Country|6
p|Standards|0
p|Founded|4
p|Width|0
p|Region|5
p|Funding|0
p|Network|0
p|Closed|0
p|Coordinates|0
p|HealthCare|5
p|longitude|0
p|Patron|0
p|Emergency|6
p|Speciality|0
p|Org/Group|6
p|Beds|5
p|map_type|0
p|Wiki-Links|0
p|Website|6
p|State|5
p|Image|0
p|Logo|0
p|Type|6

template|Templat:Infobox medical person
count|2
properties|27
p|name|2
p|field|0
p|death_date|0
p|birth_place|4
p|image_size|0
p|image|0
p|birth_name|0
p|prizes|1
p|death_place|1
p|citizenship|0
p|signature|1
p|years_active|0
p|child|0
p|research_field|0
p|education|0
p|alt|0
p|caption|1
p|nationality|0
p|profession|2
p|relations|0
p|work_institutions|3
p|death_cause|0
p|specialism|1
p|occupation|0
p|known_for|2
p|birth_date|1
p|work_institution|0

template|Templat:Ethnologue
count|2
properties|4
p|1|0
p|label|3
p|code|3
p|2|0

template|Templat:Infobox graphic novel
count|4
properties|30
p|main_char_team|2
p|series|2
p|image|0
p|transpublisher|2
p|origdate|2
p|transvolume|0
p|previssue|2
p|origpublication|2
p|foreigntitle|3
p|writers|5
p|origisbn|0
p|transisbn|0
p|transseriestitle|0
p|date|2
p|issues|0
p|artists|10
p|caption|2
p|pencillers|0
p|origlanguage|2
p|englishtitle|0
p|colorists|0
p|title|4
p|translator|1
p|colourists|0
p|nextissue|3
p|origissues|2
p|inkers|0
p|creators|2
p|transtitle|0
p|transdate|1

template|Templat:Kotak Jawatan
count|1
properties|0

template|Templat:Infobox artis indonesia
count|1753
properties|22
p|festivalfilmjakarta|2
p|name|1564
p|indonesianmovieawards|0
p|restingplace|14
p|anugerahplanetmuzik|0
p|imagesize|359
p|image|0
p|birthname|919
p|panasonicawards|6
p|mtvindonesiamovieawards|2
p|birthdate|45
p|awards|10
p|deathplace|150
p|mtvasiaawards|0
p|caption|199
p|festivalfilmbandung|0
p|deathdate|12
p|nationality|10
p|festivalfilmindonesia|145
p|birthplace|1569
p|restingplacecoordinates|0
p|penghargaanmtvindonesia|0

template|Templat:Su
count|1
properties|4
p|a|0
p|w|0
p|b|10
p|p|17

template|Templat:Subject bar
count|1
properties|38
p|portal5|0
p|species|0
p|s|0
p|portal10|0
p|n|1
p|book5|0
p|portal2|1
p|portal6|0
p|species-search|0
p|wikt-search|0
p|book|0
p|book8|0
p|book10|0
p|portal|0
p|s-search|0
p|commons-search|0
p|v-search|0
p|portal7|0
p|book4|0
p|portal1|1
p|wikt|0
p|v|0
p|book1|0
p|q|0
p|b|0
p|book7|0
p|book2|0
p|book3|0
p|portal8|0
p|portal4|0
p|commons|1
p|portal9|0
p|book6|0
p|n-search|1
p|b-search|0
p|book9|0
p|q-search|0
p|portal3|0

template|Templat:Infobox document
count|3
properties|10
p|image_width|1
p|date_created|2
p|writer|14
p|image|0
p|location_of_document|3
p|document_name|3
p|signers|44
p|purpose|5
p|image_caption|2
p|date_ratified|1

template|Templat:Kotakinfo subjek federal Rusia
count|2
properties|58
p|urban_pop_2010census|2
p|economic_region|2
p|website|2
p|area_km2|2
p|longd|2
p|image flag|0
p|established_date_ref|0
p|pop_2002census_rank|2
p|en_name|2
p|loc_name2|0
p|political status link|0
p|anthem|0
p|image map|0
p|loc_lang1|0
p|anthem_ref|0
p|latm|2
p|area_km2_rank|2
p|loc_lang2|0
p|pop_2002census_ref|0
p|ISO|2
p|established_date|2
p|longm|2
p|loc_name1|0
p|leader_name_ref|0
p|leader_name|2
p|urban_pop_2002census|1
p|legislature|2
p|image_skyline|1
p|image coa|0
p|federal_district|2
p|official_lang_list|0
p|loc_lang3|0
p|leader_title|2
p|license_plates|2
p|image skyline|0
p|pop_2010census_rank|2
p|date|2
p|rural_pop_2010census|2
p|loc_name3|0
p|holiday|2
p|leader_title_ref|0
p|political_status_link|2
p|holiday_ref|0
p|political status|0
p|image_caption|4
p|official_lang_ref|0
p|pop_2010census|2
p|ru_name|2
p|adm_ctr_ref|0
p|latd|2
p|rural_pop_2002census|1
p|legislature_ref|0
p|adm_ctr_name|0
p|adm_ctr_type|0
p|pop_2002census|2
p|pop_2010census_ref|0
p|image_flag|2
p|political_status|2

template|Templat:USGS
count|1
properties|0

template|Templat:Blazon-arms
count|2
properties|30
p|l3|0
p|l1|0
p|img1|2
p|legend8|0
p|l6|0
p|opt|0
p|legend3|0
p|text3|0
p|img5|0
p|img2|0
p|l7|0
p|legend7|0
p|text|4
p|img4|0
p|text7|0
p|legend4|0
p|l8|0
p|legend6|0
p|img3|0
p|legend1|2
p|img8|0
p|img7|0
p|legend5|0
p|text5|0
p|l2|0
p|l4|0
p|l5|0
p|legend2|0
p|img6|0
p|motto|0

template|Templat:Bulan 30 hari mulai hari Jumat
count|1
properties|8
p|LinkKeKalenderPeristiwa|1
p|bulan|1
p|float|0
p|Tahun|1
p|color2|1
p|color|1
p|bulan_sesudahnya|1
p|bulan_sebelumnya|1

template|Templat:Infobox kota Jepang
count|43
properties|19
p|KeteranganLambang|7
p|PetaLokasi|32
p|Wilayah|44
p|Kepadatan|30
p|Prefektur|42
p|Walikota|24
p|Pohon|33
p|SitusWeb|38
p|NamaJepang|42
p|Penduduk|41
p|Burung|6
p|Koordinat|0
p|TglDataPend|42
p|Distrik|3
p|Bunga|34
p|GambarLambang|12
p|MapImage|1
p|Nama|42
p|Luas|38

template|Templat:MarsGeo-Mount
count|3
properties|7
p|name|3
p|location|0
p|discoverer|2
p|peak|2
p|caption|0
p|picture|3
p|naming|2

template|Templat:Infobox Harry Potter association
count|3
properties|10
p|name|3
p|image|0
p|first call|1
p|leader|8
p|enemies|9
p|caption|1
p|headquarters|4
p|first appearance|2
p|intentions|1
p|affiliated|1

template|Templat:Infobox road/ND browse
count|1
properties|8
p|next_type|1
p|previous_dab|0
p|next_dab|0
p|previous_route|1
p|county|0
p|previous_type|1
p|route|1
p|next_route|1

template|Templat:Infobox D&D
count|2
properties|13
p|name|2
p|portfolio|2
p|bgcolor|2
p|image|0
p|fgcolor|4
p|domains|2
p|super|0
p|home|2
p|alias|0
p|caption|0
p|alignment|2
p|title|0
p|power|2

template|Templat:Location map+
count|42
properties|12
p|border|0
p|float|94
p|label|0
p|alt|0
p|overlay image|0
p|caption|95
p|AlternativeMap|0
p|overlay_image|0
p|caption_undefined|0
p|width|94
p|places|1
p|relief|0

template|Templat:Infobox James Bond character
count|7
properties|8
p|portrayed|9
p|name|7
p|affiliation|8
p|relatives|0
p|image|0
p|dubbed|0
p|caption|0
p|occupation|5

template|Templat:Ja-rail-line
count|9
properties|16
p|name|16
p|linecol|44
p|lwidth|16
p|linename|12
p|dwidth|5
p|pwidth|0
p|dir|47
p|1|0
p|nidx|2
p|pfn|53
p|col|8
p|first|27
p|2|0
p|idx|8
p|nolinkindex|22
p|lineindex|2

template|Templat:Desa = Pulliwa
count|1
properties|0

template|Templat:Infobox Govt Agency
count|2
properties|48
p|preceding6|0
p|footnotes|0
p|child5_agency|0
p|jurisdiction|2
p|minister4_name|0
p|parent_agency|2
p|chief2_name|0
p|website|2
p|minister2_pfo|0
p|child3_agency|0
p|minister4_pfo|0
p|chief2_position|0
p|preceding5|0
p|chief4_position|0
p|nativename|1
p|seal_width|1
p|preceding1|0
p|agency_name|2
p|employees|1
p|chief4_name|0
p|minister1_pfo|1
p|seal|1
p|seal_caption|1
p|chief3_position|0
p|child1_agency|0
p|dissolved|0
p|logo|1
p|preceding2|0
p|minister2_name|0
p|nativename_a|3
p|headquarters|5
p|nativename_r|0
p|formed|2
p|superseding|0
p|budget|0
p|logo_caption|1
p|minister3_pfo|0
p|minister1_name|1
p|preceding4|0
p|logo_width|1
p|chief1_name|2
p|child2_agency|0
p|chief1_position|2
p|chief3_name|0
p|child6_agency|0
p|child4_agency|0
p|minister3_name|0
p|preceding3|0

template|Templat:Infobox radio show
count|1
properties|39
p|format|1
p|rec_location|1
p|audio_format|1
p|website|1
p|italic title|0
p|starring|2
p|syndicates|4
p|imagesize|1
p|writer|0
p|image|0
p|show_name|1
p|last_aired|1
p|sponsor|1
p|podcast|1
p|exec_producer|1
p|country|1
p|senior_editor|1
p|record_location|0
p|first_aired|1
p|creator|2
p|television|1
p|num_series|0
p|editor|1
p|other_names|2
p|language|1
p|presenter|1
p|alt|0
p|narrated|1
p|caption|2
p|director|1
p|endtheme|2
p|num_episodes|0
p|othertheme|0
p|announcer|0
p|opentheme|2
p|home_station|1
p|runtime|1
p|producer|1
p|executive_producer|0

template|Templat:Marinebio
count|3
properties|2
p|name|3
p|id|3

template|Templat:Infobox Architect
count|7
properties|12
p|name|8
p|death_date|1
p|birth_place|15
p|image|0
p|death_place|7
p|practice_name|1
p|significant_projects|2
p|awards|11
p|significant_buildings|31
p|caption|3
p|nationality|8
p|birth_date|3

template|Templat:VG Reviews
count|9
properties|95
p|award12|0
p|GRO|0
p|subtitle|0
p|rev2|1
p|rev8Score|0
p|GTab|0
p|GMaster|0
p|GI|5
p|award9|0
p|OPM|0
p|award2Pub|0
p|OPMAU|0
p|state|1
p|award5Pub|0
p|GMS|0
p|GameRev|2
p|OPMUK|0
p|award4|0
p|rev7|0
p|PCGUS|2
p|GRadar|0
p|align|0
p|rev8|0
p|VG|1
p|NWR|0
p|GameZone|2
p|rev3Score|1
p|GamePro|1
p|PCZone|0
p|award12Pub|0
p|rev1|1
p|XPlay|1
p|NP|0
p|rev1Score|0
p|TX|0
p|PCF|0
p|GT|1
p|EuroG|2
p|award3|0
p|award4Pub|0
p|rev4|1
p|award6|0
p|award3Pub|0
p|G4|1
p|Play|0
p|CVG|1
p|rev6Score|0
p|award10Pub|0
p|Fam|1
p|award1Pub|0
p|rev2Score|1
p|rev7Score|0
p|PCPP|0
p|GTM|0
p|OXM|1
p|award2|0
p|rev5|1
p|GW|0
p|award11Pub|0
p|award10|0
p|award7Pub|0
p|ONM|1
p|AdvGamers|0
p|award9Pub|0
p|MC|8
p|award6Pub|0
p|EGM|0
p|1UP|6
p|award7|0
p|Dragon|0
p|award1|1
p|Hyper|0
p|IGN|7
p|OXMUK|0
p|GSpot|6
p|award11|0
p|rev3|1
p|GR|7
p|rev4Score|0
p|title|1
p|award8Pub|0
p|Edge|0
p|Allgame|0
p|PCGUK|1
p|width|0
p|GameFan|0
p|award8|0
p|PSM3|0
p|N64|0
p|GSpy|4
p|PSM|0
p|award5|0
p|rev6|1
p|rev5Score|0
p|MaxPC|0

template|Templat:Infobox Italian comuneLecce, Lecce,
count|1
properties|0

template|Templat:SFA Profile
count|5
properties|4
p|name|5
p|1|0
p|id|5
p|2|0

template|Templat:NYCS Lexington
count|1
properties|2
p|time|6
p|exclude|6

template|Templat:Infobox powiat
count|48
properties|19
p|Webpräsenz|46
p|Telefonvorwahl|5
p|KFZ-Kennzeichen|48
p|Wappen|47
p|Stadtgemeinden|47
p|Kreisstadt|48
p|AnschriftStraße|47
p|StarostDatum|2
p|Starost|47
p|Stadt- und Landgemeinden|48
p|Woiwodschaft|48
p|Einwohner|48
p|EinwohnerDatum|48
p|Powiat|48
p|Landgemeinden|48
p|Verstädterungsgrad|48
p|AnschriftOrt|47
p|Karte|21
p|Fläche|48

template|Templat:Infobox Otot
count|30
properties|17
p|MeshYear|0
p|Caption|24
p|Name|2
p|GrayPage|20
p|Antagonist|7
p|Latin|7
p|Width|0
p|Nerve|29
p|DorlandsSuf|4
p|DorlandsPre|4
p|GraySubject|27
p|MeshNumber|1
p|Blood|23
p|MeshName|1
p|Caption2|8
p|Image|0
p|Image2|7

template|Templat:Infobox spesies Pokémon
count|24
properties|85
p|evolusi1|8
p|sinnoh|1
p|evolusi1-a_arah|0
p|unova|5
p|ronde|4
p|praevolusi2-b|0
p|kanton|17
p|kemampuan|24
p|pemeran|1
p|berat2_ket|0
p|pengisi_suara|0
p|johto|11
p|praevolusi1-b|0
p|kat|0
p|praevolusi2-a|0
p|tipe|24
p|permainan|23
p|spesies|23
p|tipe2|11
p|kemampuan2|4
p|tinggi2|1
p|pencipta|19
p|praevolusi1_arah|0
p|praevolusi2|0
p|manga|9
p|prev|24
p|evolusi1-b_arah|0
p|evolusi2-a|0
p|evolusi2-b_arah|0
p|nama|24
p|praevolusi|4
p|tinggi|24
p|voice_actor|10
p|praevolusi1-a_arah|0
p|seri_permainan|23
p|generasi|23
p|evolusi1-a|0
p|wujud_kini-a|0
p|evolusi2|4
p|kemampuan3|0
p|wujud_kini|0
p|evolusi2-a_arah|0
p|kemampuan_tersembunyi|15
p|korea|24
p|hoenn|13
p|next_num|0
p|praevolusi1|2
p|gambar|22
p|berat_ket|1
p|evolusi|8
p|info_gambar|14
p|evolusi1_arah|0
p|perancang|6
p|wujud_kini-b|0
p|next|24
p|praevolusi1-b_arah|0
p|spanyol|4
p|episode|16
p|berat|23
p|perancis|23
p|prev_num|1
p|pengisi suara|0
p|praevolusi2-b_arah|0
p|praevolusi2-a_arah|0
p|mandarin|18
p|film_tahun|0
p|ukuran_gambar|4
p|berat2|0
p|seiyuu|10
p|kanto|9
p|evolusi1-b|0
p|tinggi2_ket|1
p|jerman|24
p|nomor|24
p|praevolusi2_arah|0
p|film|1
p|praevolusi1-a|0
p|volume|6
p|bab|5
p|evolusi2-b|0
p|jepang|24
p|tinggi_ket|1
p|animasi|23
p|evolusi2_arah|0
p|gender|8

template|Templat:Infobox Keuskupan
count|38
properties|27
p|uskup_agung|10
p|catatan2|0
p|coordinates|0
p|website|15
p|alamat|39
p|nama_keuskupan|37
p|ekonom|12
p|size|1
p|uskup|29
p|image|0
p|alttxt|0
p|sebelumnya|38
p|vikjen|13
p|nama|0
p|katedral|31
p|pusat|33
p|umat|24
p|imam|10
p|sekjen|10
p|alt|0
p|caption|6
p|luas_wilayah|35
p|catatan|1
p|latin|36
p|paroki|32
p|tgl_berdiri|38
p|metropolit|18

template|Templat:Goalzz
count|1
properties|0

template|Templat:Columns
count|21
properties|15
p|col7|0
p|col5width|0
p|col3|13
p|col7width|0
p|col3width|3
p|col6|0
p|col2|23
p|col5|2
p|gap|2
p|col1|23
p|col6width|0
p|width|13
p|col4|5
p|col4width|0
p|colwidth|1

template|Templat:CJKV
count|38
properties|11
p|s|30
p|cj|10
p|tp|0
p|j|10
p|t|37
p|cy|1
p|v|9
p|l|9
p|p|28
p|w|1
p|k|9

template|Templat:Flora of Australia Online
count|1
properties|0

template|Templat:Kualifikasi UEFA Euro 2012 Group D
count|2
properties|3
p|tiebreakers|2
p|expanded|2
p|scenarios|0

template|Templat:Hidden
count|14
properties|19
p|ta2|0
p|css|0
p|fw2|0
p|headerstyle|0
p|style|0
p|contentstyle|0
p|expanded|0
p|bg1|0
p|fw1|0
p|contents|0
p|contentcss|42
p|1|0
p|content|45
p|2|0
p|header|41
p|class|0
p|bg2|0
p|headercss|42
p|ta1|0

template|Templat:16TeamBracket-Compact-Tennis3-Byes
count|175
properties|84
p|RD1-score01-3|48
p|RD1-seed12|158
p|RD1-team06|449
p|RD1-score04-2|346
p|RD1-score15-2|173
p|RD1-seed01|172
p|RD1-score11-3|118
p|RD1-team03|450
p|RD1-score08-2|236
p|RD1-seed06|100
p|RD1-team15|242
p|RD1-score14-1|351
p|RD1-score05-3|110
p|RD1-team11|453
p|RD1-score06-1|348
p|RD1-score01-2|172
p|RD1-score07-2|235
p|RD1-score10-3|91
p|RD1-score10-1|243
p|RD3|352
p|RD1-team09|315
p|RD1-seed07|55
p|RD1-seed13|113
p|RD1-seed02|60
p|RD1-score13-1|349
p|RD1-team12|449
p|RD1-score14-2|345
p|RD1-seed04|102
p|RD1-score11-2|343
p|RD1-team02|230
p|RD1-score05-2|340
p|RD1-score15-3|64
p|RD1-score14-3|109
p|RD1-score03-3|125
p|RD1-seed11|115
p|RD1-seed15|58
p|RD1-score02-3|48
p|RD1-score13-2|344
p|RD1-score10-2|240
p|RD1-score01-1|172
p|RD1-seed03|104
p|RD1-score16-3|64
p|RD1-score02-2|172
p|RD1-seed14|96
p|RD1|352
p|RD1-seed08|189
p|RD1-score09-3|92
p|RD1-score12-3|116
p|RD1-score04-1|350
p|RD1-score06-2|342
p|RD1-score15-1|173
p|RD1-seed05|145
p|RD1-score07-3|79
p|RD1-seed16|174
p|RD1-team08|317
